Timestamp,Milliseconds,LinLeft,LinRight,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
2025-10-05 17:32:55,665,20285,20264,0.985,-0.038,-0.131,1.221,1.404,-1.404
2025-10-05 17:32:55,684,20285,20264,1.014,-0.074,-0.066,1.587,3.296,-1.343
2025-10-05 17:32:55,703,20285,20264,0.957,-0.066,-0.116,1.221,0.61,-0.671
2025-10-05 17:32:55,722,20285,20264,1.001,-0.052,-0.087,0.488,2.502,-2.197
2025-10-05 17:32:55,740,20305,20264,1.006,-0.036,-0.08,0.488,1.648,-2.38
2025-10-05 17:32:55,760,20305,20264,0.962,0,-0.151,0.793,-0.671,-1.404
2025-10-05 17:32:55,779,20305,20264,1.01,-0.021,-0.078,0.977,4.272,-2.38
2025-10-05 17:32:55,798,20305,20264,1.006,-0.018,-0.065,0.183,3.845,-0.977
2025-10-05 17:32:55,817,20285,20264,0.985,-0.027,-0.085,-0.916,9.216,-2.319
2025-10-05 17:32:55,836,20285,20264,0.946,-0.057,-0.139,-2.197,0.732,-1.404
2025-10-05 17:32:55,855,20285,20264,0.99,-0.021,-0.121,-3.601,-4.456,-0.793
2025-10-05 17:32:55,874,20285,20264,1.077,-0.002,-0.039,-4.7,3.662,-0.916
2025-10-05 17:32:55,892,20285,20264,1.002,0.035,-0.054,-5.554,12.024,-0.671
2025-10-05 17:32:55,912,20285,20264,0.951,0.06,-0.152,-6.042,4.517,-0.366
2025-10-05 17:32:55,931,20285,20264,1.007,0.063,-0.044,-5.981,6.714,0.183
2025-10-05 17:32:55,950,20285,20264,1.023,0.054,-0.094,-5.493,-3.662,0.427
2025-10-05 17:32:55,969,20285,20264,0.901,0.017,-0.15,-5.737,-1.587,1.465
2025-10-05 17:32:55,988,20285,20264,0.993,-0.008,-0.091,-6.287,4.761,0
2025-10-05 17:32:55,1007,20285,20264,1.046,-0.046,-0.038,-7.08,2.625,1.282
2025-10-05 17:32:56,19,20285,20264,0.935,-0.038,-0.076,-7.568,0.122,0.305
2025-10-05 17:32:56,38,20285,20264,1.018,-0.024,-0.047,-7.69,0.61,0.427
2025-10-05 17:32:56,57,20285,20264,0.961,0.009,-0.079,-7.874,1.099,0.793
2025-10-05 17:32:56,76,20285,20264,1.01,0.012,-0.059,-7.629,1.16,0
2025-10-05 17:32:56,95,20285,20264,1.005,0.001,-0.049,-7.935,-0.61,1.282
2025-10-05 17:32:56,114,20285,20264,0.958,0.011,-0.063,-7.935,-0.488,0.183
2025-10-05 17:32:56,133,20285,20264,1.039,-0.021,-0.015,-7.874,-3.113,1.16
